id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_11101000001,1.1.1.01.000001,CAIXA GERAL,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11101000002,1.1.1.01.000002,FUNDO FIXO DE CAIXA,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000001,1.1.1.02.000001,BANCO DO BRASIL,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000002,1.1.1.02.000002,CAIXA ECONÔMICA FEDERAL,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000003,1.1.1.02.000003,BANCO ITAU UNIBANCO - CC 07511-5,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000004,1.1.1.02.000004,BANCO BRADESCO,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000005,1.1.1.02.000005,BANCO SANTANDER,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000009,1.1.1.02.000009,BANCO SICOOB CONTA: 9.757.638-7 AGENCIA: 3194-1,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000011,1.1.1.02.000011,BANCO INTER,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000012,1.1.1.02.000012,BANCO ITAU C/C 16987-6,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000016,1.1.1.02.000016,BANCO XP S/A.,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000017,1.1.1.02.000017,BANCO SICOOB - CLOUDSAVE,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000018,1.1.1.02.000018,BANCO XP S/A - CLOUDSAVE,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11102000019,1.1.1.02.000019,CONTA TRANSITÓRIA DO BANCO,,asset_cash,0,l10n_br_coa_saveincloud_chart_template
account_template_11103000001,1.1.1.03.000001,POUPANÇA NA CAIXA ECONOMICA FEDERAL,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11103000010,1.1.1.03.000010,BANCO ITAU APLIC AUT MAIS,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11103000027,1.1.1.03.000027,XP INVESTIMENTOS,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11103000029,1.1.1.03.000029,BANCO SANTANDER FUNDO PRIORITY DI,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11103000030,1.1.1.03.000030,BANCO ITAU FUNDO UNICLASS PREMIUM DI,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11103000033,1.1.1.03.000033,CAIXA ECONOMICA FEDERAL APLICAÇÃO,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11103000034,1.1.1.03.000034,APLICACAO DEB FLU (DEB. FLUTUANTES),,asset_current,0,l10n_br_coa_saveincloud_chart_template
